game_id,title,release_date,esrb,console,metascore,user_score,sales_mil,details
814,Espgaluda II -Be Ascension. The Third Bright Stone of Birth-,2021-09-09,T,Switch,82,,,"Dodge and weave through the waves of bullets as they fill the screen, and go for a high score!"
815,CrossCode,2020-07-09,T,Switch,82,7.8,,"CrossCode combines 16-bit SNES-style graphics with butter-smooth physics, a fast-paced combat system, and engaging puzzle mechanics, served with a gripping sci-fi story."
816,Ruiner,2020-06-18,M,Switch,82,7.6,,RUINER is a brutal action shooter set in the year 2091 in the cyber metropolis Rengkok.
817,No More Heroes 2: Desperate Struggle,2020-10-28,M,Switch,82,8.5,,"No More Heroes 2: Desperate Struggle continues the tale of punk anti-hero Travis Touchdown, the Japanese anime Otaku, and pro wrestling-obsessed assassin."
818,Hotline Miami Collection,2019-08-19,M,Switch,82,8.1,,"Hotline Miami Collection contains both legendary games in the neon-soaked, brutally-challenging Hotline Miami series from Dennaton Games."
819,Mario + Rabbids: Kingdom Battle - Donkey Kong Adventure,2018-06-26,E10+,Switch,82,8.3,,Embark in an epic battle against a vengeful Rabbid Kong who uses his new powers to take over a mysterious island.
820,Valkyria Chronicles 4,2018-09-25,T,Switch,82,8.1,0.190,"A Continent Engulfed in the Bitter Flames of War. Commander Claude Wallace and his childhood friends set out to fight in a desperate war, but bone-chilling blizzards, waves of imperial soldiers, and the godlike powers of the Valkyria stand between them and victory."
821,Tadpole Treble Encore,2021-01-21,E,Switch,82,7.8,,"Face the music in Tadpole Treble Encore, a charming, harmonious odyssey."
822,Dreamscaper,2021-08-05,E10+,Switch,82,6.6,,"A surreal, roguelite inspired ARPG with modernized hack''n''slash combat about lucid dreaming."
823,Shadowverse: Champion's Battle,2021-08-10,T,Switch,82,8.1,,The anime version of the hit strategic multiplayer mobile/PC card battle game Shadowverse is coming to the Nintendo Switch as an exciting new card battle RPG.
824,Virtua Racing,2019-06-27,E,Switch,82,8.3,,From the arcade to the armchair! Sega's revolutionary SVP chip puts you in the driving seat of the most technically advanced game ever.
825,LEGO Star Wars: The Skywalker Saga,2022-04-05,E10+,Switch,82,8.0,,"LEGO Star Wars: The Skywalker Saga will feature hundreds of playable characters - the most ever for a LEGO Star Wars game - and ships, LEGO''s signature sense of humour and fun, and new innovations, options, and gameplay features."
826,Bloodstained: Curse of the Moon 2,2020-07-10,T,Switch,82,8.2,,Battle with swords and whips in this retro-style action game brought to you by game creator Koji Igarashi and Inti Creates.
827,Super Mario 3D All-Stars,2020-09-18,E,Switch,82,6.4,9.070,Play three of Mario’s greatest 3D platform adventures—all in one package.
828,Swords & Soldiers II,2019-03-01,T,Switch,82,7.9,,"Use real-time tactics to command your troops on a 2D battleground, and save the world from these marauders."
